C101_025;3;309.06494;3;3;3.0;191.81361;236.15683;201.66766555555557
C101_050;10;744.6441;5;6;5.625;362.04813;392.17267;376.37122249999993
C101_100;12;1923.1027;10;12;10.75;820.6073;964.05066;865.603175
C102_025;8;498.68042;3;4;3.1;190.73761;242.14615;201.54111699999999
C102_050;11;1135.7961;5;6;5.2;360.97217;405.2099;370.42094299999997
C102_100;14;2248.5483;10;12;10.875;818.49646;926.9953;856.2178325000001
C103_025;6;394.6496;3;3;3.0;190.73761;221.02303;194.1026611111111
C103_050;12;1022.5147;5;6;5.2;352.89328;405.96585;363.89589
C103_100;14;1860.4244;10;10;10.0;812.52014;886.2025;852.002808
C104_025;3;249.84993;3;3;3.0;187.44946;191.48772;187.9542425
C104_050;6;668.5314;5;6;5.111111111111111;347.20395;448.60034;375.91816666666665
C104_100;14;2087.7422;10;11;10.5;806.1473;902.68414;846.301664
C105_025;3;285.62314;3;3;3.0;191.81361;226.17432;198.46690555555554
C105_050;6;687.04175;5;6;5.4;362.04813;418.2077;382.37728799999996
C105_100;11;1508.3168;10;12;10.875;820.3974;967.48627;863.95355125
C106_025;5;564.53516;3;5;3.2222222222222223;191.81361;241.93813;200.21843555555554
C106_050;12;1205.5461;5;6;5.4;362.04816;382.04816;370.2451279999999
C106_100;11;1668.3385;10;11;10.625;820.6072;918.937;856.21847625
C107_025;3;309.25705;3;4;3.1;191.81361;247.93167;206.54898699999998
C107_050;6;805.8737;5;6;5.3;361.8383;396.38608;381.61349200000006
C107_100;11;1520.7224;10;11;10.25;821.80585;903.5599;862.1723937500001
C108_025;5;359.66302;3;3;3.0;191.81361;191.81363;191.81362777777778
C108_050;6;602.0363;5;6;5.3;361.83826;424.92877;377.728504
C108_100;11;1452.5856;10;11;10.444444444444445;823.6193;898.4874;853.2119855555557
C109_025;3;302.94647;3;3;3.0;186.25037;242.69595;204.01618100000002
C109_050;5;621.53845;5;6;5.1;356.03113;408.3294;373.314563
C109_100;10;1300.3835;10;11;10.2;818.7227;939.7815;872.542627
C201_025;18;1145.7703;2;3;2.1;215.54257;237.14511;219.46952000000005
C201_050;14;980.3267;3;4;3.2;361.7965;379.46344;365.3298879999999
C201_100;5;1250.3634;3;6;4.4;591.5566;672.2064;630.2886350000001
C202_025;15;988.6407;1;3;1.7;223.31009;233.19131;226.907716
